fecha,AFORO,TFAREAL,IGAE,DUMMONUMENTO,MAR,JUN,AFORO_L1,TFAREAL_L2,D_AFORO,D_IGAE,LOG_AFORO,LOG_IGAE,LOG_TFAREAL
2012-03-01,206529,123.6300807,90.1,0,1,0,179587.0,115.9556023,26942.0,4.799999999999997,12.238196117358386,4.500920164614292,4.817293886772808
2012-04-01,226403,124.019138,86.7,0,0,0,206529.0,123.7010672,19874.0,-3.3999999999999915,12.330071876106764,4.462453883786496,4.820435892405721
2012-05-01,191145,124.4118492,90.1,0,0,0,226403.0,123.6300807,-35258.0,3.3999999999999915,12.160787581314487,4.500920164614292,4.823597426572868
2012-06-01,179500,123.8409121,89.8,0,0,1,191145.0,124.019138,-11645.0,-0.2999999999999971,12.097930486910473,4.497584975308154,4.818997774962873
2012-07-01,199476,123.1495248,89.9,0,0,0,179500.0,124.4118492,19976.0,0.1000000000000085,12.20344920732346,4.498697941477575,4.813399265850211
2012-08-01,186410,122.7810553,89.4,0,0,0,199476.0,123.8409121,-13066.0,-0.5,12.135703827863292,4.493120682179469,4.810402731010466
2012-09-01,193285,122.2422923,87.3,0,0,0,186410.0,123.1495248,6875.0,-2.1000000000000085,12.171921062599283,4.469350462845557,4.8060050776965735
2012-10-01,188849,121.6269286,91.4,0,0,0,193285.0,122.7810553,-4436.0,4.1000000000000085,12.148703032918746,4.515245478460105,4.800958397317756
2012-11-01,208619,120.806231,93.4,0,0,0,188849.0,122.2422923,19770.0,2.0,12.248264900814195,4.536891345234797,4.794187865296282
2012-12-01,220072,120.5291267,90.4,0,0,0,208619.0,121.6269286,11453.0,-3.0,12.301710044519734,4.504244267398131,4.791891439074957
2013-01-01,191078,129.1734573,87.7,0,0,0,220072.0,120.806231,-28994.0,-2.700000000000003,12.16043700062894,4.473921899378137,4.86115613138856
2013-02-01,182631,138.2294951,85.1,0,0,0,191078.0,120.5291267,-8447.0,-2.6000000000000085,12.11522300272276,4.443827035579329,4.928915311861623
2013-03-01,232990,137.2225941,87.3,0,1,0,182631.0,129.1734573,50359.0,2.200000000000003,12.35875081317188,4.469350462845557,4.921604381762672
2013-04-01,180097,137.1320132,90.5,0,0,0,232990.0,138.2294951,-52893.0,3.200000000000003,12.101250873612765,4.505349850705881,4.920944061863672
2013-05-01,201753,137.5899146,91.7,0,0,0,180097.0,137.2225941,21656.0,1.2000000000000028,12.214799455910116,4.51852237926242,4.92427762775489
2013-06-01,180535,137.6734981,89.3,0,0,1,201753.0,137.1320132,-21218.0,-2.4000000000000057,12.103679943774944,4.492001487882454,4.924884926064164
2013-07-01,192710,137.719132,91.1,0,0,0,180535.0,137.5899146,12175.0,1.7999999999999972,12.168941747191964,4.511957804265912,4.925216335807417
2013-08-01,191178,137.3284232,90.2,0,0,0,192710.0,137.6734981,-1532.0,-0.8999999999999915,12.160960210217704,4.502029427068578,4.922375306644191
2013-09-01,182762,136.8134165,88.2,0,0,0,191178.0,137.719132,-8416.0,-2.0,12.115940038930963,4.4796069630127455,4.9186180742099355
2013-10-01,183995,136.1657673,92.8,0,0,0,182762.0,137.3284232,1233.0,4.599999999999994,12.122663862308862,4.530446639792155,4.913873020714175
2013-11-01,216482,134.9081572,93.0,0,0,0,183995.0,136.8134165,32487.0,0.2000000000000028,12.28526268209069,4.532599493153256,4.904594229880746
2013-12-01,222065,134.1386914,92.1,0,0,0,216482.0,136.1657673,5583.0,-0.9000000000000057,12.310725410791765,4.522874943261261,4.898874275144657
2014-01-01,185459,132.9499774,88.1,0,0,0,222065.0,134.9081572,-36606.0,-4.0,12.130589112341406,4.478472532942134,4.889972947700297
2014-02-01,165018,143.5482629,86.9,0,0,0,185459.0,134.1386914,-20441.0,-1.1999999999999886,12.013809837841828,4.464758032271346,4.966671305483754
2014-03-01,198376,160.008253,91.5,0,1,0,165018.0,132.9499774,33358.0,4.599999999999994,12.197919498773787,4.516338972281476,5.07522539515356
2014-04-01,194230,160.3073259,90.6,0,0,0,198376.0,143.5482629,-4146.0,-0.9000000000000057,12.176798302826178,4.506454213048934,5.077092759756518
2014-05-01,175748,160.8216109,93.8,0,0,0,194230.0,160.008253,-18482.0,3.200000000000003,12.076806429807307,4.541164856012179,5.080295743858792
2014-06-01,160091,160.5434024,92.2,0,0,1,175748.0,160.3073259,-15657.0,-1.5999999999999943,11.983497682538982,4.523960130562548,5.078564325950884
